Date,Open,High,Low,Close,Adj Close,Volume,CryptoName 
4/30/2019,"4,691,556,152","4,782,432,617","4,658,425,781","4,771,259,277","4,771,259,277",12375914347,ETH
5/1/2019,"4,770,998,535","4,817,553,711","4,767,233,887","4,823,619,629","4,823,619,629",12213315362,BTC
5/2/2019,"4,823,375,000","4,938,747,070","4,813,427,734","4,927,245,605","4,927,245,605",13106836445,ETH
5/3/2019,"4,927,529,785","5,258,241,211","4,912,934,570","5,147,044,434","5,147,044,434",16704551999,ETH
5/4/2019,"5,147,859,375","5,252,875,000","5,037,452,148","5,203,150,879","5,203,150,879",15675730777,BTC
5/5/2019,"5,203,062,500","5,205,555,664","5,091,224,609","5,181,746,094","5,181,746,094",13240072049,BTC
5/6/2019,"5,177,912,598","5,178,901,855","5,053,339,355","5,130,174,805","5,130,174,805",14048573270,BTC
5/7/2019,"5,129,096,191","5,354,233,887","5,125,355,469","5,209,499,023","5,209,499,023",16109192274,BTC
5/8/2019,"5,227,395,020","5,349,604,004","5,178,430,176","5,342,549,805","5,342,549,805",13681852074,BTC
5/9/2019,"5,342,405,762","5,510,973,633","5,342,405,762","5,503,882,324","5,503,882,324",14961581150,ETH
5/10/2019,"5,504,837,891","5,727,324,707","5,486,549,316","5,678,451,172","5,678,451,172",17287573052,BTC
5/11/2019,"5,679,179,688","6,527,839,355","5,675,646,973","6,413,687,988","6,413,687,988",25697903986,BTC
5/12/2019,"6,412,562,500","6,679,946,777","6,066,274,902","6,205,382,813","6,205,382,813",24718155882,BTC
5/13/2019,"6,204,320,801","7,169,190,918","6,140,264,648","6,958,033,203","6,958,033,203",25533251460,ETH
5/14/2019,"6,951,398,438","7,357,649,414","6,867,759,277","7,134,912,598","7,134,912,598",28587654704,BTC
5/15/2019,"7,130,716,309","7,334,357,910","7,043,246,582","7,321,372,559","7,321,372,559",25291111829,BTC
5/16/2019,"7,311,985,840","7,424,996,094","6,916,608,398","7,057,222,656","7,057,222,656",29685603684,BTC
5/17/2019,"7,058,916,992","7,095,832,031","6,304,857,422","6,578,515,137","6,578,515,137",26933099173,ETH
5/18/2019,"6,576,516,113","6,671,117,188","6,495,752,930","6,513,402,832","6,513,402,832",19128742817,BTC
5/19/2019,"6,510,496,094","7,400,848,633","6,510,496,094","7,342,637,695","7,342,637,695",23200695811,BTC
5/20/2019,"7,341,952,148","7,345,336,426","6,881,747,070","7,142,940,430","7,142,940,430",21346880688,ETH
5/21/2019,"7,142,636,230","7,222,896,484","7,028,534,668","7,131,446,777","7,131,446,777",22502352529,ETH
5/22/2019,"7,125,145,996","7,164,845,215","6,827,572,754","6,884,596,191","6,884,596,191",22159129021,BTC
5/23/2019,"6,882,326,172","7,104,402,832","6,765,669,434","7,047,166,992","7,047,166,992",21867124559,BTC
5/24/2019,"7,047,812,012","7,266,781,250","6,996,731,934","7,128,090,332","7,128,090,332",23130747309,BTC
5/25/2019,"7,132,118,164","7,243,941,895","7,108,996,582","7,185,599,121","7,185,599,121",19860622351,ETH
5/26/2019,"7,187,974,609","7,749,451,172","7,071,500,000","7,737,375,977","7,737,375,977",23799417119,ETH
5/27/2019,"7,738,140,137","7,958,872,070","7,730,750,977","7,866,871,094","7,866,871,094",24969715870,BTC
5/28/2019,"7,864,172,852","7,868,135,254","7,713,465,820","7,808,071,777","7,808,071,777",21693389184,ETH
